dokument,phase,run_id,run_ts,invoice_idx,quality,commodity,prompt_language,prompt_strategy,model,model_label,prompt_tokens,completion_tokens,total_tokens,latency_ms,tp,fp,fn,precision,recall,f1,null_rate,gt_present,cost_usd,cost_czk,api_error
e5912e5852,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,3,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1,GPT-4.1,8920,108,9028,1490.6480312347412,3,8,0,0.2727272727272727,1.0,0.4285714285714285,0.0,11,0.018704,0.4395439999999999,
e5912e5852,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,3,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-2025-04-14,GPT-4.1 Apr-25,8920,108,9028,1119.1284656524658,3,8,0,0.2727272727272727,1.0,0.4285714285714285,0.0,11,0.018704,0.4395439999999999,
5ec43e71e5,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,4,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-nano,GPT-4.1 nano,9547,130,9677,2262.123346328736,6,5,0,0.5454545454545454,1.0,0.7058823529411764,0.0,11,0.0010067,0.02365745,
5ec43e71e5,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,4,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-mini,GPT-4o mini,9547,110,9657,1866.6884899139404,9,2,0,0.8181818181818182,1.0,0.9,0.0,11,0.00149805,0.035204175,
5ec43e71e5,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,4,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-mini,GPT-4.1 mini,9547,108,9655,1522.1998691558838,8,2,1,0.8,0.8888888888888888,0.8421052631578948,0.0909090909090909,11,0.0039916,0.0938026,
5ec43e71e5,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,4,Q1,elektrina_nn,cs_en,few_shot,gpt-4o,GPT-4o,9547,108,9655,1184.8905086517334,9,1,1,0.9,0.9,0.9,0.0909090909090909,11,0.0249475,0.58626625,
5ec43e71e5,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,4,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-2024-11-20,GPT-4o Nov-24,9547,108,9655,1006.511688232422,9,1,1,0.9,0.9,0.9,0.0909090909090909,11,0.0249475,0.58626625,
5ec43e71e5,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,4,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1,GPT-4.1,9547,110,9657,2688.2944107055664,10,1,0,0.9090909090909092,1.0,0.9523809523809524,0.0,11,0.019974,0.4693889999999999,
5ec43e71e5,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,4,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-2025-04-14,GPT-4.1 Apr-25,9547,110,9657,1813.9350414276123,10,1,0,0.9090909090909092,1.0,0.9523809523809524,0.0,11,0.019974,0.4693889999999999,
b6468911d4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,5,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-nano,GPT-4.1 nano,10803,127,10930,1616.2476539611816,7,4,0,0.6363636363636364,1.0,0.7777777777777778,0.0,11,0.0011311,0.0265808499999999,
b6468911d4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,5,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-mini,GPT-4o mini,10803,106,10909,10053.9653301239,5,6,0,0.4545454545454545,1.0,0.625,0.0,11,0.0016840499999999,0.039575175,
b6468911d4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,5,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-mini,GPT-4.1 mini,10803,104,10907,1683.7971210479736,6,4,1,0.6,0.8571428571428571,0.7058823529411764,0.0909090909090909,11,0.0044876,0.1054585999999999,
b6468911d4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,5,Q1,elektrina_nn,cs_en,few_shot,gpt-4o,GPT-4o,10803,104,10907,2191.1206245422363,6,4,1,0.6,0.8571428571428571,0.7058823529411764,0.0909090909090909,11,0.0280475,0.65911625,
b6468911d4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,5,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-2024-11-20,GPT-4o Nov-24,10803,104,10907,1248.7270832061768,6,4,1,0.6,0.8571428571428571,0.7058823529411764,0.0909090909090909,11,0.0280475,0.65911625,
b6468911d4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,5,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1,GPT-4.1,10803,106,10909,1433.4309101104736,7,4,0,0.6363636363636364,1.0,0.7777777777777778,0.0,11,0.022454,0.5276689999999999,
b6468911d4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,5,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-2025-04-14,GPT-4.1 Apr-25,10803,106,10909,1404.289960861206,7,4,0,0.6363636363636364,1.0,0.7777777777777778,0.0,11,0.022454,0.5276689999999999,
722b1a3984,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,6,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-nano,GPT-4.1 nano,7714,132,7846,1264.2874717712402,5,6,0,0.4545454545454545,1.0,0.625,0.0,11,0.0008242,0.0193687,
722b1a3984,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,6,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-mini,GPT-4o mini,7714,110,7824,2142.458915710449,10,1,0,0.9090909090909092,1.0,0.9523809523809524,0.0,11,0.0012231,0.02874285,
722b1a3984,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,6,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-mini,GPT-4.1 mini,7714,108,7822,1470.3161716461182,9,1,1,0.9,0.9,0.9,0.0909090909090909,11,0.0032584,0.0765724,
722b1a3984,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,6,Q1,elektrina_nn,cs_en,few_shot,gpt-4o,GPT-4o,7714,110,7824,3090.639114379883,10,1,0,0.9090909090909092,1.0,0.9523809523809524,0.0,11,0.020385,0.4790475,
722b1a3984,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,6,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-2024-11-20,GPT-4o Nov-24,7714,110,7824,1083.2366943359375,10,1,0,0.9090909090909092,1.0,0.9523809523809524,0.0,11,0.020385,0.4790475,
722b1a3984,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,6,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1,GPT-4.1,7714,105,7819,1189.2621517181396,9,1,1,0.9,0.9,0.9,0.0909090909090909,11,0.016268,0.382298,
722b1a3984,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,6,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-2025-04-14,GPT-4.1 Apr-25,7714,105,7819,1705.582618713379,9,1,1,0.9,0.9,0.9,0.0909090909090909,11,0.016268,0.382298,
f1f9db76a9,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,7,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-nano,GPT-4.1 nano,7835,131,7966,1207.5347900390625,7,4,0,0.6363636363636364,1.0,0.7777777777777778,0.0,11,0.0008359,0.01964365,
f1f9db76a9,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,7,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-mini,GPT-4o mini,7835,110,7945,2125.776529312134,10,1,0,0.9090909090909092,1.0,0.9523809523809524,0.0,11,0.00124125,0.0291693749999999,
f1f9db76a9,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,7,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-mini,GPT-4.1 mini,7835,108,7943,2016.3655281066892,8,2,1,0.8,0.8888888888888888,0.8421052631578948,0.0909090909090909,11,0.0033068,0.0777098,
f1f9db76a9,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,7,Q1,elektrina_nn,cs_en,few_shot,gpt-4o,GPT-4o,7835,103,7938,1455.7697772979736,9,0,2,1.0,0.8181818181818182,0.9,0.1818181818181818,11,0.0206175,0.48451125,
f1f9db76a9,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,7,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-2024-11-20,GPT-4o Nov-24,7835,110,7945,1106.415033340454,11,0,0,1.0,1.0,1.0,0.0,11,0.0206875,0.48615625,
f1f9db76a9,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,7,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1,GPT-4.1,7835,105,7940,1632.976770401001,10,0,1,1.0,0.9090909090909092,0.9523809523809524,0.0909090909090909,11,0.01651,0.387985,
