strategie,kvalita,komodita,f1,precision,recall,null_rate,prompt_tokens,completion_tokens,latency_ms,cost_usd,cost_czk,pole_celkem,pole_spravne
zero_shot,Q1,plyn_vo,0.2,0.25,0.16666666666666666,0.5555555555555556,7946,188,1667.8109169006348,0.0008698000000000001,0.0204403,0,0
zero_shot_rules,Q1,plyn_vo,0.2857142857142857,0.42857142857142855,0.21428571428571427,0.6111111111111112,9151,186,1356.0082912445068,0.0009895,0.02325325,0,0
few_shot,Q1,plyn_vo,0.28571428571428575,0.3333333333333333,0.25,0.5,10769,224,2005.5513381958008,0.0011665,0.02741275,0,0
chain_of_thought,Q1,plyn_vo,0.2857142857142857,0.42857142857142855,0.21428571428571427,0.6111111111111112,9200,185,1458.8091373443604,0.000994,0.023359,0,0
zero_shot,Q3,teplo,0.3636363636363636,0.2222222222222222,1.0,0.0,3988,91,1060.4875087738037,0.0004352,0.0102272,0,0
zero_shot_rules,Q3,teplo,0.3636363636363636,0.2222222222222222,1.0,0.0,4712,88,1564.2914772033691,0.0005064000000000001,0.011900400000000002,0,0
few_shot,Q3,teplo,0.36363636363636365,0.2857142857142857,0.5,0.2222222222222222,6656,97,1141.8650150299072,0.0007044,0.0165534,0,0
chain_of_thought,Q3,teplo,0.36363636363636365,0.25,0.6666666666666666,0.1111111111111111,4761,86,1082.9026699066162,0.0005105,0.01199675,0,0
zero_shot,Q2,teplo,0.3636363636363636,0.4,0.3333333333333333,0.4444444444444444,2707,71,817.2106742858887,0.00029909999999999995,0.007028849999999999,0,0
zero_shot_rules,Q2,teplo,0.36363636363636365,0.2857142857142857,0.5,0.2222222222222222,3431,78,785.5525016784668,0.0003743,0.00879605,0,0
few_shot,Q2,teplo,0.7142857142857143,0.5555555555555556,1.0,0.0,5375,111,828.0560970306396,0.0005819,0.01367465,0,0
chain_of_thought,Q2,teplo,0.3636363636363636,0.3333333333333333,0.4,0.3333333333333333,3480,73,739.130973815918,0.0003772,0.008864200000000001,0,0
zero_shot,Q1,teplo,1.0,1.0,1.0,0.0,6160,89,1160.057544708252,0.0006516,0.0153126,0,0
zero_shot_rules,Q1,teplo,1.0,1.0,1.0,0.0,6884,89,1030.1363468170166,0.0007240000000000001,0.017014000000000005,0,0
few_shot,Q1,teplo,1.0,1.0,1.0,0.0,8828,106,1006.5546035766602,0.0009252,0.0217422,0,0
chain_of_thought,Q1,teplo,1.0,1.0,1.0,0.0,6933,89,796.0772514343262,0.0007289000000000001,0.017129150000000003,0,0
zero_shot,Q2,teplo,0.5,0.375,0.75,0.1111111111111111,2671,83,881.007194519043,0.00030030000000000004,0.0070570500000000005,0,0
zero_shot_rules,Q2,teplo,0.7142857142857143,0.5555555555555556,1.0,0.0,3395,88,1388.524055480957,0.0003747,0.00880545,0,0
few_shot,Q2,teplo,0.6153846153846153,0.4444444444444444,1.0,0.0,5339,106,946.1879730224609,0.0005763,0.01354305,0,0
chain_of_thought,Q2,teplo,0.7142857142857143,0.625,0.8333333333333334,0.1111111111111111,3444,87,898.2086181640625,0.00037920000000000006,0.008911200000000001,0,0
zero_shot,q1,teplo,0.875,0.875,0.875,0.1111111111111111,4354,86,966.1440849304199,0.00046980000000000004,0.011040300000000001,0,0
zero_shot_rules,q1,teplo,0.8,0.6666666666666666,1.0,0.0,5078,90,878.5605430603027,0.0005438,0.0127793,0,0
few_shot,q1,teplo,1.0,1.0,1.0,0.0,7022,106,1094.4609642028809,0.0007446,0.0174981,0,0
chain_of_thought,q1,teplo,0.7999999999999999,0.8571428571428571,0.75,0.2222222222222222,5127,80,749.5651245117188,0.0005447000000000001,0.012800450000000001,0,0
zero_shot,Q3,voda,0.5714285714285715,0.4,1.0,0.0,1810,108,1347.8047847747803,0.0002242,0.0052687,0,0
zero_shot_rules,Q3,voda,0.4615384615384615,0.5,0.42857142857142855,0.4,2588,96,1030.5559635162354,0.00029720000000000007,0.006984200000000001,0,0
few_shot,Q3,voda,0.4615384615384615,0.42857142857142855,0.5,0.3,4353,111,1315.6421184539795,0.00047970000000000006,0.011272950000000002,0,0
chain_of_thought,Q3,voda,0.4615384615384615,0.6,0.375,0.5,2637,91,1563.6560916900635,0.0003001,0.00705235,0,0
zero_shot,Q3,voda,0.0,0.0,0.0,0.8,3396,73,965.266227722168,0.0003688,0.0086668,0,0
zero_shot_rules,Q3,voda,0.0,0.0,0.0,1.0,4174,65,751.7600059509277,0.00044340000000000004,0.010419900000000001,0,0
few_shot,Q3,voda,0.0,0.0,0.0,0.9,5939,78,821.6617107391357,0.0006251000000000001,0.01468985,0,0
chain_of_thought,Q3,voda,0.0,0.0,0.0,1.0,4223,65,1135.2097988128662,0.0004483,0.01053505,0,0
zero_shot,Q2,voda,0.8235294117647058,0.7,1.0,0.0,5043,103,1202.6517391204834,0.0005455,0.012819249999999999,0,0
