doc_idx,commodity,quality,escalated,escalation_reason,tp,fp,fn,precision,recall,f1,null_rate,ocr_ms,text_llm_ms,vision_llm_ms,full_pipeline_ms,prompt_tokens,completion_tokens,cost_usd,json_valid
32,elektrina_vn,Q2,1,required_missing:invoice_number,5,0,0,1.0,1.0,1.0,0.6923,3560.999631881714,9461.89546585083,9845.380067825317,22868.27516555786,9880,368,0.0255008,1
33,elektrina_vn,Q3,1,"required_missing:invoice_number,supply_consumption,supply_charge,period_from,period_to",4,1,0,0.8,1.0,0.888889,0.6923,4041.409730911255,4573.583602905273,6010.87498664856,14625.868320465088,9870,414,0.0241664,1
34,elektrina_vn,Q3,1,"required_missing:invoice_number,supply_consumption,period_from,period_to",4,0,1,1.0,0.8,0.888889,0.7308,3395.197629928589,4167.949199676514,8570.40524482727,16133.552074432373,9867,409,0.0239152,1
35,elektrina_vn,Q3,1,"required_missing:invoice_number,supply_charge,period_from,period_to",4,0,1,1.0,0.8,0.888889,0.7308,3683.5715770721436,5270.468235015869,12079.439163208008,21033.47897529602,9880,409,0.0240504,1
36,elektrina_vn,Q1,1,required_missing:supply_consumption,5,0,0,1.0,1.0,1.0,0.6538,4199.3348598480225,6505.398988723755,460102.1807193756,470806.9145679474,9859,369,0.025724,1
37,elektrina_vn,Q1,0,ok,5,0,0,1.0,1.0,1.0,0.6923,4747.497320175171,5016.856908798218,0.0,9764.354228973389,8393,557,0.021242,1
38,elektrina_vn,Q1,1,required_missing:supply_consumption,5,0,0,1.0,1.0,1.0,0.6923,4123.553991317749,7579.131126403809,7878.783226013184,19581.46834373474,9858,366,0.0257328,1
39,elektrina_vn,Q2,0,ok,5,0,0,1.0,1.0,1.0,0.6923,4404.074907302856,9037.098169326782,0.0,13441.173076629639,8399,557,0.021254,1
40,elektrina_vn,Q2,0,ok,5,0,0,1.0,1.0,1.0,0.6923,4280.069589614868,7055.4304122924805,0.0,11335.500001907349,8357,414,0.020026,1
41,elektrina_vn,Q2,0,ok,5,0,0,1.0,1.0,1.0,0.6923,4300.538063049316,6522.568941116333,0.0,10823.10700416565,8385,557,0.021226,1
42,elektrina_vn,Q3,0,ok,5,0,0,1.0,1.0,1.0,0.6923,4117.2425746917725,6970.583438873291,0.0,11087.826013565063,8298,557,0.021052,1
43,elektrina_vn,Q3,0,ok,1,2,2,0.333333,0.333333,0.333333,0.8077,3810.1837635040283,5420.66502571106,0.0,9230.848789215088,8187,539,0.020686,1
