model,condition,field,tp,fp,fn,precision,recall,f1,n_gt
gpt-4.1,grayscale_denoise_cs_standard,period_to,44.0,12.0,4.0,0.7857142857142857,0.9166666666666666,0.8461538461538461,60.0
gpt-4.1,grayscale_denoise_cs_standard,supplier,25.0,33.0,2.0,0.43103448275862066,0.9259259259259259,0.5882352941176471,60.0
gpt-4.1,grayscale_denoise_en_cot,amount_ex_vat,22.0,36.0,2.0,0.3793103448275862,0.9166666666666666,0.5365853658536586,60.0
gpt-4.1,grayscale_denoise_en_cot,amount_inc_vat,19.0,39.0,2.0,0.3275862068965517,0.9047619047619048,0.48101265822784806,60.0
gpt-4.1,grayscale_denoise_en_cot,due_date,43.0,14.0,2.0,0.7543859649122807,0.9555555555555556,0.8431372549019609,59.0
gpt-4.1,grayscale_denoise_en_cot,invoice_number,27.0,32.0,1.0,0.4576271186440678,0.9642857142857143,0.6206896551724138,60.0
gpt-4.1,grayscale_denoise_en_cot,issue_date,48.0,10.0,2.0,0.8275862068965517,0.96,0.888888888888889,60.0
gpt-4.1,grayscale_denoise_en_cot,period_from,37.0,21.0,2.0,0.6379310344827587,0.9487179487179487,0.7628865979381444,60.0
gpt-4.1,grayscale_denoise_en_cot,period_to,47.0,11.0,2.0,0.8103448275862069,0.9591836734693877,0.8785046728971961,60.0
gpt-4.1,grayscale_denoise_en_cot,supplier,19.0,41.0,0.0,0.31666666666666665,1.0,0.4810126582278481,60.0
gpt-4.1,grayscale_denoise_en_standard,amount_ex_vat,19.0,36.0,5.0,0.34545454545454546,0.7916666666666666,0.4810126582278481,60.0
gpt-4.1,grayscale_denoise_en_standard,amount_inc_vat,16.0,39.0,5.0,0.2909090909090909,0.7619047619047619,0.4210526315789473,60.0
gpt-4.1,grayscale_denoise_en_standard,due_date,40.0,14.0,5.0,0.7407407407407407,0.8888888888888888,0.808080808080808,59.0
gpt-4.1,grayscale_denoise_en_standard,invoice_number,25.0,32.0,3.0,0.43859649122807015,0.8928571428571429,0.5882352941176471,60.0
gpt-4.1,grayscale_denoise_en_standard,issue_date,44.0,11.0,5.0,0.8,0.8979591836734694,0.8461538461538463,60.0
gpt-4.1,grayscale_denoise_en_standard,period_from,32.0,23.0,5.0,0.5818181818181818,0.8648648648648649,0.6956521739130435,60.0
gpt-4.1,grayscale_denoise_en_standard,period_to,43.0,12.0,5.0,0.7818181818181819,0.8958333333333334,0.8349514563106797,60.0
gpt-4.1,grayscale_denoise_en_standard,supplier,25.0,32.0,3.0,0.43859649122807015,0.8928571428571429,0.5882352941176471,60.0
gpt-4.1,raw_cs_cot,amount_ex_vat,19.0,39.0,2.0,0.3275862068965517,0.9047619047619048,0.48101265822784806,60.0
gpt-4.1,raw_cs_cot,amount_inc_vat,15.0,43.0,2.0,0.25862068965517243,0.8823529411764706,0.4,60.0
gpt-4.1,raw_cs_cot,due_date,42.0,15.0,2.0,0.7368421052631579,0.9545454545454546,0.8316831683168316,59.0
gpt-4.1,raw_cs_cot,invoice_number,25.0,34.0,1.0,0.423728813559322,0.9615384615384616,0.5882352941176471,60.0
gpt-4.1,raw_cs_cot,issue_date,48.0,10.0,2.0,0.8275862068965517,0.96,0.888888888888889,60.0
gpt-4.1,raw_cs_cot,period_from,38.0,20.0,2.0,0.6551724137931034,0.95,0.7755102040816326,60.0
gpt-4.1,raw_cs_cot,period_to,46.0,12.0,2.0,0.7931034482758621,0.9583333333333334,0.8679245283018867,60.0
gpt-4.1,raw_cs_cot,supplier,17.0,43.0,0.0,0.2833333333333333,1.0,0.4415584415584416,60.0
gpt-4.1,raw_cs_standard,amount_ex_vat,14.0,39.0,7.0,0.2641509433962264,0.6666666666666666,0.37837837837837834,60.0
gpt-4.1,raw_cs_standard,amount_inc_vat,8.0,45.0,7.0,0.1509433962264151,0.5333333333333333,0.23529411764705882,60.0
gpt-4.1,raw_cs_standard,due_date,40.0,12.0,7.0,0.7692307692307693,0.851063829787234,0.8080808080808081,59.0
gpt-4.1,raw_cs_standard,invoice_number,25.0,30.0,5.0,0.45454545454545453,0.8333333333333334,0.5882352941176471,60.0
gpt-4.1,raw_cs_standard,issue_date,44.0,9.0,7.0,0.8301886792452831,0.8627450980392157,0.8461538461538461,60.0
gpt-4.1,raw_cs_standard,period_from,25.0,28.0,7.0,0.4716981132075472,0.78125,0.588235294117647,60.0
gpt-4.1,raw_cs_standard,period_to,42.0,11.0,7.0,0.7924528301886793,0.8571428571428571,0.8235294117647058,60.0
gpt-4.1,raw_cs_standard,supplier,23.0,32.0,5.0,0.41818181818181815,0.8214285714285714,0.5542168674698795,60.0
gpt-4.1,raw_en_cot,amount_ex_vat,19.0,39.0,2.0,0.3275862068965517,0.9047619047619048,0.48101265822784806,60.0
gpt-4.1,raw_en_cot,amount_inc_vat,14.0,44.0,2.0,0.2413793103448276,0.875,0.3783783783783784,60.0
gpt-4.1,raw_en_cot,due_date,42.0,15.0,2.0,0.7368421052631579,0.9545454545454546,0.8316831683168316,59.0
gpt-4.1,raw_en_cot,invoice_number,26.0,34.0,0.0,0.43333333333333335,1.0,0.6046511627906976,60.0
gpt-4.1,raw_en_cot,issue_date,47.0,11.0,2.0,0.8103448275862069,0.9591836734693877,0.8785046728971961,60.0
gpt-4.1,raw_en_cot,period_from,35.0,23.0,2.0,0.603448275862069,0.9459459459459459,0.7368421052631577,60.0
gpt-4.1,raw_en_cot,period_to,46.0,12.0,2.0,0.7931034482758621,0.9583333333333334,0.8679245283018867,60.0
gpt-4.1,raw_en_cot,supplier,18.0,42.0,0.0,0.3,1.0,0.4615384615384615,60.0
gpt-4.1,raw_en_standard,amount_ex_vat,16.0,39.0,5.0,0.2909090909090909,0.7619047619047619,0.4210526315789473,60.0
gpt-4.1,raw_en_standard,amount_inc_vat,9.0,46.0,5.0,0.16363636363636364,0.6428571428571429,0.2608695652173913,60.0
gpt-4.1,raw_en_standard,due_date,40.0,14.0,5.0,0.7407407407407407,0.8888888888888888,0.808080808080808,59.0
gpt-4.1,raw_en_standard,invoice_number,23.0,34.0,3.0,0.40350877192982454,0.8846153846153846,0.5542168674698795,60.0
gpt-4.1,raw_en_standard,issue_date,44.0,11.0,5.0,0.8,0.8979591836734694,0.8461538461538463,60.0
gpt-4.1,raw_en_standard,period_from,26.0,29.0,5.0,0.4727272727272727,0.8387096774193549,0.6046511627906976,60.0
gpt-4.1,raw_en_standard,period_to,42.0,13.0,5.0,0.7636363636363637,0.8936170212765957,0.8235294117647058,60.0
gpt-4.1,raw_en_standard,supplier,26.0,31.0,3.0,0.45614035087719296,0.896551724137931,0.6046511627906976,60.0
gpt-4.1-mini,grayscale_denoise_cs_cot,amount_ex_vat,24.0,34.0,2.0,0.41379310344827586,0.9230769230769231,0.5714285714285715,60.0
gpt-4.1-mini,grayscale_denoise_cs_cot,amount_inc_vat,25.0,33.0,2.0,0.43103448275862066,0.9259259259259259,0.5882352941176471,60.0
gpt-4.1-mini,grayscale_denoise_cs_cot,due_date,43.0,14.0,2.0,0.7543859649122807,0.9555555555555556,0.8431372549019609,59.0
gpt-4.1-mini,grayscale_denoise_cs_cot,invoice_number,20.0,31.0,9.0,0.39215686274509803,0.6896551724137931,0.5,60.0
gpt-4.1-mini,grayscale_denoise_cs_cot,issue_date,48.0,10.0,2.0,0.8275862068965517,0.96,0.888888888888889,60.0
gpt-4.1-mini,grayscale_denoise_cs_cot,period_from,40.0,18.0,2.0,0.6896551724137931,0.9523809523809523,0.7999999999999999,60.0
gpt-4.1-mini,grayscale_denoise_cs_cot,period_to,47.0,11.0,2.0,0.8103448275862069,0.9591836734693877,0.8785046728971961,60.0
gpt-4.1-mini,grayscale_denoise_cs_cot,supplier,16.0,44.0,0.0,0.26666666666666666,1.0,0.4210526315789474,60.0
gpt-4.1-mini,grayscale_denoise_cs_standard,amount_ex_vat,25.0,33.0,2.0,0.43103448275862066,0.9259259259259259,0.5882352941176471,60.0
gpt-4.1-mini,grayscale_denoise_cs_standard,amount_inc_vat,25.0,33.0,2.0,0.43103448275862066,0.9259259259259259,0.5882352941176471,60.0
gpt-4.1-mini,grayscale_denoise_cs_standard,due_date,43.0,14.0,2.0,0.7543859649122807,0.9555555555555556,0.8431372549019609,59.0
gpt-4.1-mini,grayscale_denoise_cs_standard,invoice_number,30.0,30.0,0.0,0.5,1.0,0.6666666666666666,60.0
gpt-4.1-mini,grayscale_denoise_cs_standard,issue_date,48.0,10.0,2.0,0.8275862068965517,0.96,0.888888888888889,60.0
gpt-4.1-mini,grayscale_denoise_cs_standard,period_from,40.0,18.0,2.0,0.6896551724137931,0.9523809523809523,0.7999999999999999,60.0
gpt-4.1-mini,grayscale_denoise_cs_standard,period_to,47.0,11.0,2.0,0.8103448275862069,0.9591836734693877,0.8785046728971961,60.0
gpt-4.1-mini,grayscale_denoise_cs_standard,supplier,26.0,34.0,0.0,0.43333333333333335,1.0,0.6046511627906976,60.0
gpt-4.1-mini,grayscale_denoise_en_cot,amount_ex_vat,26.0,32.0,2.0,0.4482758620689655,0.9285714285714286,0.6046511627906977,60.0
gpt-4.1-mini,grayscale_denoise_en_cot,amount_inc_vat,25.0,33.0,2.0,0.43103448275862066,0.9259259259259259,0.5882352941176471,60.0
gpt-4.1-mini,grayscale_denoise_en_cot,due_date,43.0,14.0,2.0,0.7543859649122807,0.9555555555555556,0.8431372549019609,59.0
gpt-4.1-mini,grayscale_denoise_en_cot,invoice_number,29.0,31.0,0.0,0.48333333333333334,1.0,0.6516853932584269,60.0
gpt-4.1-mini,grayscale_denoise_en_cot,issue_date,48.0,10.0,2.0,0.8275862068965517,0.96,0.888888888888889,60.0
gpt-4.1-mini,grayscale_denoise_en_cot,period_from,40.0,18.0,2.0,0.6896551724137931,0.9523809523809523,0.7999999999999999,60.0
gpt-4.1-mini,grayscale_denoise_en_cot,period_to,47.0,11.0,2.0,0.8103448275862069,0.9591836734693877,0.8785046728971961,60.0
gpt-4.1-mini,grayscale_denoise_en_cot,supplier,16.0,44.0,0.0,0.26666666666666666,1.0,0.4210526315789474,60.0
gpt-4.1-mini,grayscale_denoise_en_standard,amount_ex_vat,26.0,32.0,2.0,0.4482758620689655,0.9285714285714286,0.6046511627906977,60.0
gpt-4.1-mini,grayscale_denoise_en_standard,amount_inc_vat,26.0,32.0,2.0,0.4482758620689655,0.9285714285714286,0.6046511627906977,60.0
gpt-4.1-mini,grayscale_denoise_en_standard,due_date,43.0,14.0,2.0,0.7543859649122807,0.9555555555555556,0.8431372549019609,59.0
gpt-4.1-mini,grayscale_denoise_en_standard,invoice_number,29.0,31.0,0.0,0.48333333333333334,1.0,0.6516853932584269,60.0
gpt-4.1-mini,grayscale_denoise_en_standard,issue_date,48.0,10.0,2.0,0.8275862068965517,0.96,0.888888888888889,60.0
gpt-4.1-mini,grayscale_denoise_en_standard,period_from,39.0,19.0,2.0,0.6724137931034483,0.9512195121951219,0.7878787878787878,60.0
gpt-4.1-mini,grayscale_denoise_en_standard,period_to,47.0,11.0,2.0,0.8103448275862069,0.9591836734693877,0.8785046728971961,60.0
gpt-4.1-mini,grayscale_denoise_en_standard,supplier,26.0,34.0,0.0,0.43333333333333335,1.0,0.6046511627906976,60.0
gpt-4.1-mini,raw_cs_cot,amount_ex_vat,25.0,33.0,2.0,0.43103448275862066,0.9259259259259259,0.5882352941176471,60.0
gpt-4.1-mini,raw_cs_cot,amount_inc_vat,25.0,33.0,2.0,0.43103448275862066,0.9259259259259259,0.5882352941176471,60.0
gpt-4.1-mini,raw_cs_cot,due_date,43.0,14.0,2.0,0.7543859649122807,0.9555555555555556,0.8431372549019609,59.0
gpt-4.1-mini,raw_cs_cot,invoice_number,19.0,31.0,10.0,0.38,0.6551724137931034,0.48101265822784806,60.0
gpt-4.1-mini,raw_cs_cot,issue_date,48.0,10.0,2.0,0.8275862068965517,0.96,0.888888888888889,60.0
gpt-4.1-mini,raw_cs_cot,period_from,40.0,18.0,2.0,0.6896551724137931,0.9523809523809523,0.7999999999999999,60.0
gpt-4.1-mini,raw_cs_cot,period_to,47.0,11.0,2.0,0.8103448275862069,0.9591836734693877,0.8785046728971961,60.0
gpt-4.1-mini,raw_cs_cot,supplier,15.0,45.0,0.0,0.25,1.0,0.4,60.0
gpt-4.1-mini,raw_cs_standard,amount_ex_vat,26.0,32.0,2.0,0.4482758620689655,0.9285714285714286,0.6046511627906977,60.0
gpt-4.1-mini,raw_cs_standard,amount_inc_vat,25.0,33.0,2.0,0.43103448275862066,0.9259259259259259,0.5882352941176471,60.0
gpt-4.1-mini,raw_cs_standard,due_date,42.0,15.0,2.0,0.7368421052631579,0.9545454545454546,0.8316831683168316,59.0
gpt-4.1-mini,raw_cs_standard,invoice_number,29.0,31.0,0.0,0.48333333333333334,1.0,0.6516853932584269,60.0
gpt-4.1-mini,raw_cs_standard,issue_date,47.0,11.0,2.0,0.8103448275862069,0.9591836734693877,0.8785046728971961,60.0
gpt-4.1-mini,raw_cs_standard,period_from,39.0,19.0,2.0,0.6724137931034483,0.9512195121951219,0.7878787878787878,60.0
gpt-4.1-mini,raw_cs_standard,period_to,47.0,11.0,2.0,0.8103448275862069,0.9591836734693877,0.8785046728971961,60.0
gpt-4.1-mini,raw_cs_standard,supplier,26.0,34.0,0.0,0.43333333333333335,1.0,0.6046511627906976,60.0
gpt-4.1-mini,raw_en_cot,amount_ex_vat,26.0,32.0,2.0,0.4482758620689655,0.9285714285714286,0.6046511627906977,60.0
gpt-4.1-mini,raw_en_cot,amount_inc_vat,24.0,34.0,2.0,0.41379310344827586,0.9230769230769231,0.5714285714285715,60.0
gpt-4.1-mini,raw_en_cot,due_date,43.0,14.0,2.0,0.7543859649122807,0.9555555555555556,0.8431372549019609,59.0
gpt-4.1-mini,raw_en_cot,invoice_number,27.0,31.0,2.0,0.46551724137931033,0.9310344827586207,0.6206896551724138,60.0
gpt-4.1-mini,raw_en_cot,issue_date,48.0,10.0,2.0,0.8275862068965517,0.96,0.888888888888889,60.0
gpt-4.1-mini,raw_en_cot,period_from,40.0,18.0,2.0,0.6896551724137931,0.9523809523809523,0.7999999999999999,60.0
gpt-4.1-mini,raw_en_cot,period_to,47.0,11.0,2.0,0.8103448275862069,0.9591836734693877,0.8785046728971961,60.0
gpt-4.1-mini,raw_en_cot,supplier,16.0,44.0,0.0,0.26666666666666666,1.0,0.4210526315789474,60.0
gpt-4.1-mini,raw_en_standard,amount_ex_vat,25.0,33.0,2.0,0.43103448275862066,0.9259259259259259,0.5882352941176471,60.0
gpt-4.1-mini,raw_en_standard,amount_inc_vat,24.0,34.0,2.0,0.41379310344827586,0.9230769230769231,0.5714285714285715,60.0
gpt-4.1-mini,raw_en_standard,due_date,43.0,14.0,2.0,0.7543859649122807,0.9555555555555556,0.8431372549019609,59.0
gpt-4.1-mini,raw_en_standard,invoice_number,29.0,31.0,0.0,0.48333333333333334,1.0,0.6516853932584269,60.0
gpt-4.1-mini,raw_en_standard,issue_date,48.0,10.0,2.0,0.8275862068965517,0.96,0.888888888888889,60.0
gpt-4.1-mini,raw_en_standard,period_from,39.0,19.0,2.0,0.6724137931034483,0.9512195121951219,0.7878787878787878,60.0
gpt-4.1-mini,raw_en_standard,period_to,47.0,11.0,2.0,0.8103448275862069,0.9591836734693877,0.8785046728971961,60.0
gpt-4.1-mini,raw_en_standard,supplier,26.0,34.0,0.0,0.43333333333333335,1.0,0.6046511627906976,60.0
gpt-4o-mini,grayscale_denoise_cs_cot,amount_ex_vat,15.0,43.0,2.0,0.25862068965517243,0.8823529411764706,0.4,60.0
gpt-4o-mini,grayscale_denoise_cs_cot,amount_inc_vat,17.0,40.0,3.0,0.2982456140350877,0.85,0.44155844155844154,60.0
gpt-4o-mini,grayscale_denoise_cs_cot,due_date,41.0,16.0,2.0,0.7192982456140351,0.9534883720930233,0.8200000000000001,59.0
gpt-4o-mini,grayscale_denoise_cs_cot,invoice_number,17.0,36.0,7.0,0.32075471698113206,0.7083333333333334,0.44155844155844154,60.0
gpt-4o-mini,grayscale_denoise_cs_cot,issue_date,43.0,14.0,3.0,0.7543859649122807,0.9347826086956522,0.8349514563106796,60.0
gpt-4o-mini,grayscale_denoise_cs_cot,period_from,34.0,23.0,3.0,0.5964912280701754,0.918918918918919,0.7234042553191489,60.0
